PAC Table 5c,,,
Top 50 Corporate PACs by Contributions to Candidates and Other Committees,,,
"January 1, 2021 - September 30, 2022",,,
,,,
Rank,ID #,Committee,Amount
1,C00468314,"DEMOCRACY ENGINE, INC., PAC","$13,364,863"
2,C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,"$3,925,500"
3,C00096156,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE,"$3,917,500"
4,C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),"$3,551,900"
5,C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,"$3,075,500"
6,C00236489,"KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)","$2,807,500"
7,C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,"$2,791,000"
8,C00064766,UNITED PARCEL SERVICE INC. PAC,"$2,716,505"
9,C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,"$2,422,500"
10,C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),"$2,421,000"
11,C00388827,ROCK HOLDINGS INC. PAC,"$2,221,500"
12,C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),"$2,217,000"
13,C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,"$2,189,000"
14,C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,"$2,180,500"
15,C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,"$2,164,000"
16,C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,"$2,134,000"
17,C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC","$2,075,000"
18,C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),"$2,014,250"
19,C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE","$1,925,500"
20,C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),"$1,901,000"
21,C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)","$1,895,000"
22,C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),"$1,780,500"
23,C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","$1,751,500"
24,C00104802,DELTA AIR LINES PAC,"$1,749,500"
25,C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),"$1,697,500"
26,C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,"$1,620,500"
27,C00085316,CIGNA CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE,"$1,587,000"
28,C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,"$1,523,500"
29,C00326595,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL FUND,"$1,466,000"
30,C00016683,PFIZER INC. PAC,"$1,442,000"
31,C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)","$1,399,500"
32,C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,"$1,374,000"
33,C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)","$1,341,000"
34,C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,"$1,335,900"
35,C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,"$1,307,000"
36,C00428623,GOOGLE LLC NETPAC,"$1,304,000"
37,C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)","$1,256,250"
38,C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),"$1,247,000"
39,C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,"$1,195,500"
40,C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,"$1,169,500"
41,C00271007,HUMANA INC. POLITICAL ACTION COMMITTEE,"$1,101,500"
42,C00477653,COX ENTERPRISES PAC (COXPAC) INC.,"$1,079,000"
43,C00125641,INTEL CORPORATION POLITICAL ACTION COMMITTEE (IPAC),"$1,056,000"
44,C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),"$1,041,500"
45,C00009282,NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,"$1,029,500"
46,C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),"$1,010,500"
47,C00040394,"THE WILLIAMS COMPANIES, INC. POLITICAL ACTION COMMITTEE","$995,000"
48,C00401299,"FRESENIUS MEDICAL CARE HOLDINGS, INC. POLITICAL ACTION COMMITTEE","$994,500"
49,C00369751,"DELL TECHNOLOGIES, INC. POLITICAL ACTION COMMITTEE","$981,400"
50,C00215285,GENERAL ATOMICS POLITICAL ACTION COMMITTEE,"$970,023"
