PAC Table 5b,,,
Top 50 Corporate PACs by Disbursements,,,
"January 1, 2021 - September 30, 2022",,,
Rank,ID #,Committee,Amount
1,C00468314,"DEMOCRACY ENGINE, INC., PAC","$14,036,313"
2,C00096156,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE,"$6,193,272"
3,C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,"$5,939,391"
4,C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,"$4,988,200"
5,C00064766,UNITED PARCEL SERVICE INC. PAC,"$4,470,235"
6,C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),"$3,744,139"
7,C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,"$3,595,295"
8,C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),"$3,516,122"
9,C00236489,"KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)","$3,367,275"
10,C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,"$2,876,158"
11,C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),"$2,861,061"
12,C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,"$2,835,369"
13,C00085316,CIGNA CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE,"$2,683,423"
14,C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,"$2,638,673"
15,C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),"$2,469,900"
16,C00016683,PFIZER INC. PAC,"$2,458,484"
17,C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE","$2,445,467"
18,C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,"$2,444,677"
19,C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC","$2,412,895"
20,C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,"$2,392,545"
21,C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","$2,391,404"
22,C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,"$2,335,720"
23,C00388827,ROCK HOLDINGS INC. PAC,"$2,246,800"
24,C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),"$2,218,442"
25,C00397851,CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC),"$2,167,130"
26,C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,"$2,017,031"
27,C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,"$1,929,598"
28,C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),"$1,904,853"
29,C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)","$1,895,567"
30,C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,"$1,772,926"
31,C00104802,DELTA AIR LINES PAC,"$1,750,583"
32,C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,"$1,720,125"
33,C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),"$1,702,057"
34,C00141218,EXELON CORPORATION POLITICAL ACTION COMMITTEE,"$1,687,398"
35,C00496307,MARATHON PETROLEUM CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE (MPAC),"$1,681,057"
36,C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),"$1,657,398"
37,C00083535,DUKE ENERGY CORPORATION PAC,"$1,580,675"
38,C00219642,"ENTERPRISE HOLDINGS, INC. POLITICAL ACTION COMMITTEE","$1,568,899"
39,C00082792,ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE,"$1,558,233"
40,C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)","$1,555,298"
41,C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,"$1,516,845"
42,C00326595,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL FUND,"$1,484,350"
43,C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)","$1,467,179"
44,C00046474,FORD MOTOR COMPANY CIVIC ACTION FUND,"$1,426,359"
45,C00225342,MCGUIREWOODS FEDERAL PAC,"$1,415,295"
46,C00384818,CVS HEALTH PAC,"$1,411,064"
47,C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)","$1,391,958"
48,C00097485,"MERCK & CO., INC., EMPLOYEES POLITICAL ACTION COMMITTEE (MERCK PAC)","$1,353,509"
49,C00430256,"MOLINA HEALTHCARE, INC. PAC","$1,320,028"
50,C00428623,GOOGLE LLC NETPAC,"$1,305,204"
