PAC Table 5a,,,
Top 50 Corporate PACs by Receipts,,,
"January 1, 2021 - September 30, 2022",,,
,,,
Rank,ID #,Committee,Amount
1,C00468314,"DEMOCRACY ENGINE, INC., PAC","$13,981,257"
2,C00096156,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE,"$5,894,895"
3,C00064766,UNITED PARCEL SERVICE INC. PAC,"$4,540,124"
4,C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,"$4,401,312"
5,C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,"$3,945,710"
6,C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,"$3,874,018"
7,C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,"$3,770,547"
8,C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,"$3,544,970"
9,C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),"$3,543,017"
10,C00236489,"KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)","$3,374,669"
11,C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,"$3,045,423"
12,C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),"$3,003,962"
13,C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),"$2,922,408"
14,C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,"$2,754,667"
15,C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,"$2,717,754"
16,C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC","$2,538,230"
17,C00085316,CIGNA CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE,"$2,492,535"
18,C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)","$2,407,128"
19,C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,"$2,405,088"
20,C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),"$2,343,099"
21,C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),"$2,202,102"
22,C00388827,ROCK HOLDINGS INC. PAC,"$2,112,836"
23,C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE","$2,109,325"
24,C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,"$2,074,076"
25,C00219642,"ENTERPRISE HOLDINGS, INC. POLITICAL ACTION COMMITTEE","$2,058,960"
26,C00016683,PFIZER INC. PAC,"$1,989,712"
27,C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),"$1,987,613"
28,C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),"$1,920,828"
29,C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,"$1,920,591"
30,C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)","$1,872,212"
31,C00082792,ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE,"$1,829,401"
32,C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,"$1,728,018"
33,C00397851,CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC),"$1,723,731"
34,C00225342,MCGUIREWOODS FEDERAL PAC,"$1,672,407"
35,C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,"$1,666,485"
36,C00496307,MARATHON PETROLEUM CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE (MPAC),"$1,647,654"
37,C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)","$1,595,867"
38,C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,"$1,560,772"
39,C00083535,DUKE ENERGY CORPORATION PAC,"$1,472,692"
40,C00104802,DELTA AIR LINES PAC,"$1,433,600"
41,C00046474,FORD MOTOR COMPANY CIVIC ACTION FUND,"$1,420,097"
42,C00369751,"DELL TECHNOLOGIES, INC. POLITICAL ACTION COMMITTEE","$1,405,617"
43,C00477653,COX ENTERPRISES PAC (COXPAC) INC.,"$1,400,862"
44,C00428623,GOOGLE LLC NETPAC,"$1,373,567"
45,C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,"$1,350,760"
46,C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)","$1,347,716"
47,C00148031,CATERPILLAR INC. POLITICAL ACTION COMMITTEE (CATPAC),"$1,345,766"
48,C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)","$1,344,296"
49,C00384818,CVS HEALTH PAC,"$1,317,755"
50,C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),"$1,298,339"
